ChaFriend	ChaFlag	((1))
ChaInfo	ChaAttackP	((0))
ChaInfo	ChaBright	((0))
ChaInfo	ChaClass	((0))
ChaInfo	ChaCP	((0))
ChaInfo	ChaCreateDate	(getdate())
ChaInfo	ChaDefenseP	((0))
ChaInfo	ChaDeleted	((0))
ChaInfo	ChaDeletedDate	(getdate())
ChaInfo	ChaDex	((0))
ChaInfo	ChaExp	((0))
ChaInfo	ChaFace	((0))
ChaInfo	ChaFightA	((0))
ChaInfo	ChaGuName	('')
ChaInfo	ChaGuSecede	('1970-02-01')
ChaInfo	ChaHair	((0))
ChaInfo	ChaHP	((0))
ChaInfo	ChaIntel	((0))
ChaInfo	ChaInvenLine	((0))
ChaInfo	ChaKill	((0))
ChaInfo	ChaKills	((0))
ChaInfo	ChaLevel	((0))
ChaInfo	ChaLiving	((0))
ChaInfo	ChaMoney	((0))
ChaInfo	ChaMP	((0))
ChaInfo	ChangeClass	((0))
ChaInfo	ChaOnline	((0))
ChaInfo	ChaPK	((0))
ChaInfo	ChaPosX	((0))
ChaInfo	ChaPosY	((0))
ChaInfo	ChaPosZ	((0))
ChaInfo	ChaPower	((0))
ChaInfo	ChaReborn	((0))
ChaInfo	ChaRebornReset	((0))
ChaInfo	ChaReturnMap	((-1))
ChaInfo	ChaReturnPosX	((0))
ChaInfo	ChaReturnPosY	((0))
ChaInfo	ChaReturnPosZ	((0))
ChaInfo	ChaSaveMap	((-1))
ChaInfo	ChaSavePosX	((0))
ChaInfo	ChaSavePosY	((0))
ChaInfo	ChaSavePosZ	((0))
ChaInfo	ChaSchool	((0))
ChaInfo	ChaShootA	((0))
ChaInfo	ChaSkillPoint	((0))
ChaInfo	ChaSP	((0))
ChaInfo	ChaSpecial	((0))
ChaInfo	ChaSpirit	((0))
ChaInfo	ChaSpMID	((0))
ChaInfo	ChaSpSID	((0))
ChaInfo	ChaStartGate	((0))
ChaInfo	ChaStartMap	((0))
ChaInfo	ChaStorage2	('1970-02-01')
ChaInfo	ChaStorage3	('1970-02-01')
ChaInfo	ChaStorage4	('1970-02-01')
ChaInfo	ChaStRemain	((0))
ChaInfo	ChaStrength	((0))
ChaInfo	ChaStrong	((0))
ChaInfo	ChaTribe	((0))
ChaInfo	ChaViewRange	((0))
ChaInfo	GraveYard	((0))
ChaInfo	GuNum	((0))
ChaInfo	GuPosition	((0))
ChaInfo	SGNum	((0))
ChaInfo	SumMain	((0))
ChaInfo	SumSub	((0))
ChaInfo	UserLastInfo	((0))
