BlockAddress	BlockDate	(getdate())
FullUserInfo	BodyID	('')
FullUserInfo	UserID	('')
FullUserInfo	UserName	('')
FullUserInfo	UserPass	('')
FullUserInfo	UserPass2	('')
htlog	LogDate	(getdate())
LogAction	ActionDate	(getdate())
LogAction	ActionMoney	((0))
LogAction	BrightPoint	((0))
LogAction	ChaNum	((0))
LogAction	ExpPoint	((0))
LogAction	LifePoint	((0))
LogAction	TargetNum	((0))
LogAction	TargetType	((0))
LogAction	Type	((0))
LogGameTime	ChaNum	((0))
LogGameTime	GameTime	((0))
LogGameTime	LogDate	(getdate())
LogGameTime	SGNum	((0))
LogGameTime	SvrNum	((0))
LogGameTime	UserNum	((0))
LogGmCmd	LogDate	(getdate())
LogLogin	LogDate	(getdate())
LogLogin	LogInOut	((0))
LogServerState	LogDate	(getdate())
LogServerState	SGNum	((0))
LogServerState	SvrNum	((0))
LogServerState	UserMaxNum	((0))
LogServerState	UserNum	((0))
PassCheckLog	ts	(getdate())
ServerGroup	OdbcLogName	('')
ServerGroup	OdbcLogPassword	('')
ServerGroup	OdbcLogUserID	('')
ServerGroup	OdbcName	('')
ServerGroup	OdbcPassword	('')
ServerGroup	OdbcUserID	('')
ServerGroup	SGName	('')
ShopGoumaiInfo	ItemDate	(getdate())
Skills	SkillCost	((0))
StatGameTime	GDay	(datepart(day,getdate()))
StatGameTime	GMonth	(datepart(month,getdate()))
StatGameTime	GTime	((0))
StatGameTime	GYear	(datepart(year,getdate()))
StatLogin	LCount	((1))
StatLogin	LDay	(datepart(day,getdate()))
StatLogin	LHour	(datepart(hour,getdate()))
StatLogin	LMonth	(datepart(month,getdate()))
StatLogin	LYear	(datepart(year,getdate()))
traceip	cpt	((0))
traceip	locked	((0))
UserInfo	ChaName	('')
UserInfo	ChaRemain	((2))
UserInfo	ChatBlockDate	('1970-02-01')
UserInfo	ChaTestRemain	((2))
UserInfo	CreateDate	(getdate())
UserInfo	EndDate	('1970-02-01')
UserInfo	GameTime	((-99999999))
UserInfo	GameTime2	((0))
UserInfo	LastLoginDate	(getdate())
UserInfo	OfflineTime	((0))
UserInfo	PremiumDate	('1970-02-01')
UserInfo	SGNum	((0))
UserInfo	SvrNum	((0))
UserInfo	UserAge	((0))
UserInfo	UserAvailable	((1))
UserInfo	UserBlock	((0))
UserInfo	UserBlockDate	(getdate())
UserInfo	UserID	('')
UserInfo	UserLoginState	((0))
UserInfo	UserName	('')
UserInfo	UserPass	('')
UserInfo	UserPass2	('')
UserInfo	UserPoint2	((0))
UserInfo	UserType	((1))
UserInfo	UserVIP	((0))
UserInfo	WebLoginState	((0))
UserLastInfo	UserMoney	((0))
UserPoint	Point	((0))
UserPointLog	updateTime	(getdate())
VLog	ts	(getdate())
